书名,作者,出版社,关键词,摘要,中国图书分类号,出版年月
中国中医药文化遗存,范玉强，陈景林主编,天津天津社会科学院出版社,中国医药学文化史文集,本书是作者在从医业余时间收集的中医药历史文献、历史文化、历史遗存、医学名家故里等资料，编成的一部中国传统中医药历史文化著作。全书从中国石器时代文化遗迹与文物的医学起源开始，到近代医药文化遗迹结束，图文并茂，对于继承和发展中国传统中医药历史文化遗产有重要意义。,R,2015.12
人文视野中的医学,刘俊荣著,北京中国文史出版社,医学人文科学研究,本书从医学哲学、医学伦理学、医学管理、医学教育四个方面，对当前医学的诸方面问题与生物医学模式进行了系统的审视。强调对人的生命应有正确的、全面的认识以德治医、以法治医医院管理的对象不应当是纯生物人，而是处在特定社会关系中的现实的人呼吁加强人文医学教育。人文理念始终是贯穿全书的主线。,R,2014.07
暗黑医疗史,苏上豪著,北京现代出版社,医学史世界通俗读物,本书以一个又一个小故事的串连，讲述了医疗史中的演变，在现代医学未发达之前的千万年间，如何避忌与医治人类疼痛的产生、消亡，以及由此所产生的社会禁忌。作者通过详尽的资料收集，对中外历史上的古药材、俗信禁忌、传统物理治疗，用简单医学术语进行古今东西的辩证说明。医疗与医药，由蒙昧走向今天，使我们思考生命的意义，领悟生命之可贵。,R,2016.09
物质整体哲学与整体医学,肖正权著,北京中医古籍出版社,医学哲学研究,本书主要分三篇上篇物辞存在与认识的对话中篇如何认识生命下篇物质整体哲学观指导下的整体医学探索。主要内容包括存在于认识存在物质是什么如何认识物质等。,R,2016.09
道医概说,祝守明著,北京中医古籍出版社,道教中医学,本书突破了以往从单一学科研究医学的局限，集道家、道教、哲学、史学、医学、生命学、养生学之智慧，以老子道德经的思想，对道医文化进行了整体研究，系统阐述了道医学体系、技术及其在当代社会中的重要价值，较完整地再现了道医文化的内在逻辑结构，在多方面学术上做出了深入的探索。,R,2009.03
自然之道中国医药,崔锡章著,北京北京教育出版社,中国医药学医学史,这是一套对内面向普通读者，对外面向对中国文化感兴趣的外籍人士的普及读物，目的是通过具体的事物来阐述中国的传统文化。全套共册，分别为中国医药、中国书法、中国传统工艺神话传说、中国功夫、中国青铜器、中国玉器、中国曲艺、中国园林、中国节气、中国戏曲、中国绘画、中国汉字、中国文学、中国音乐、中国建筑、中国科技、中国服饰。本书为中国医药，提取了中国医药发展史上某些点来论述，由此连成线，以体现中国医药文化的发展脉络。,R,2013.04
生命的圣火宗教与医学纵横谭,郑怀林，甘利仁主编,北京中医古籍出版社,医学关系医学人才学,本书主要内容包括原始宗教与医学、古代的民族宗教与医学、犹太教与医学、婆罗门教与医学、佛教与医学、基督宗教与医学、伊斯兰教与医学、道教与医学、民间宗教与医学、宗教与医学心理学、宗教习俗与医药卫生、宗教与医药文化的交流。从纵横十二个方面、七十个专题入手，做了力所能及的探索和研究。,R,2008.01
医学伦理学,王建立，程乐森主编,北京中国海洋大学出版社,医学伦理学,本书分章内容包括医学伦理学概述，医学伦理学的基本理论、原则、规范和范畴，医学人际关系道德，临床诊疗伦理，医学科研伦理，医疗卫生管理伦理，生命伦理与死亡，修养与评价。,R,2012.01
杭州医药史,朱德明著,北京中医古籍出版社,医学史杭州市,本书从医药发展背景、医疗行政机构、医家学派及其学术思想、医药学家及其著作、医学对外交流等方面，对杭州医药的发展作了较为全面、系统的阐述。,R,2007.07
医学史,杨建宇编著,北京中医古籍出版社,医学史学科世界学科中医学院学科教材,本书为高等中医药院校中西医结合大专系列配套教材，内容包括中国医学史、外国医学史略等。,R,2006.07
远古中国医学史,严健民著,北京中医古籍出版社,中国医药学学科医学史学科远古,本书分两篇章，比较系统阐述了四万年至公元二世纪我国先民早期的医疗及医事活动，内容包括卫生保健，药物知识，人体解剖、人体生理，临床医学、临床诊断、针刺疗法等诸多内容。,R,2006.01
医学信息学,梁玲芳等主编,北京中国档案出版社,医学学科信息学学科医学院校医学信息学,高等医药院校教材本书共分八章，包括医学信息及查询的基础知识、网络信息查询基础知识、校园网种国内外著名全文数据库、国内外种免费医学信息和全文数据库等内容。,R,2005.04
生命伦理与新健康,曹文妹，瞿晓敏著,济南济南出版社,生命科学学科医学伦理学生命科学医学伦理学,本书阐述了这样一个观点，生命伦理学作为医学伦理学的扩展，是为解决现代生物医学发展所带来的各种难题和挑战而产生和发展起来的，反映了要对新技术的应用进行社会化控制的伦理要求，书中讨论了生育问题、生命质量与权益维护、安乐死、临终关怀等诸多问题。,R,2005.05
医学伦理学,吴素香主编,广州广东高等教育出版社,医学伦理学学科医学院校学科教材,本书阐释医学伦理学的有关原理，是供医科院校学生使用的教材。,R,2012.01
岐黄医道,廖育群著,沈阳辽宁教育出版社,中医学医学史医学史中医学,本书内容包括医学起源、马王堆出土医籍、今本黄帝内经素问与灵枢针灸疗法等章。,R,1991.11
中国宫殿里的西方医学,美约翰齐默尔曼鲍尔斯著,北京中国协和医科大学出版社,医学史中国古代,本书共分为章，主要内容包括西方医学来到古老的北京医学与传教第一次中国医学考察团第二次中国医学考察团等。,R,2014.06
当代医学的七大争议问题,美沃西克著王金铭，贾柱立编译,天津天津科技翻译出版公司,医学伦理学学科问题伦理学医学学科问题,本书对人体实验、遗传咨询和检诊、死亡和濒死、未来的优生医学等七大争议问题进行了探讨。,R,1992.03
中国医学史略,贾得道著,太原山西科学技术出版社,中国医药学医学史医学史中国医药学,本书搜集了自春秋前后至民初的名医家的生平事迹、学术思想、医疗经验并对余部医学著作进行了分析和评价。,R,1999.01
河北医学两千年,徐延香，张学勤主编,太原山西科学技术出版社,医学史地点河北,本书记述了战国时期至年底河北省中医学、中西医结合、基础医学、临床医学、预防医学、理论医学及其各个学科的发展和成就。,R,1992.03
林黛玉究竟得的什么病,棒棒医生著,北京同心出版社,疾病医学史中国古代通俗读物,本书主要内容主要包括红楼医话、水浒医话、三国医话、西游医话和医话杂谈几部分。通过小说中的相关信息，以现代医学理论为基础，对四大名著中一些主要人物所患疾病进行了分析和破解，展示了人类认识和治疗疾病的发展历史，普及了现代医学知识。,R,2014.07
医药道德新探,张君亮编,上海上海科学普及出版社,医药卫生人员职业道德职业道德医药卫生人员,本书对医药道德的基本特性、在精神文明建设中的作用医药道德建设的要求与途径等进行了论述。,R,1993.08
社会医学,白正林主编,保定河北大学出版社,社会医学,本书论述了社会医学及其体系结构、社会医学与相关学科、社会医学的研究方法、社会与健康、卫生服务、卫生教育、卫生组织及人员等问题。,R,1991.07
医学伦理学教程,曹开宾等主编,上海医科大学出版社,医学伦理学学科医学院校学科教材伦理学医学学科医学院校学科教材,本书内容包括绪论、医学道德的形成和发展医德的基本原则、规范和范畴、医患关系等。,R,1992.08
医学史,张大庆主编,北京北京大学医学出版社,医学史地点世界学科医学院校医学史,高等院校医学教材本书讲述了古代的医药文明医学的演变、传播与交融医学革命与生物医学的奠基生物医学体系的确立与发展西方医学的传播及其对传统医学的影响等部分内容。,R,2006.07
医学道德教程,康美华主编,南宁广西教育出版社,医药卫生人员职业道德职业道德医药卫生人员,本书概述了社会主义医学道德的基本原则、基本规范、基本范畴和各类医务人员的岗位道德等问题。,R,1992.01
中华医药文明史集论,梁峻等主编,北京中医古籍出版社,中国医药学学科医学史中国医药学医学史,本书收录的相关论文涉及中华医药文明史学术理论讨论，对于中国医药卫生文物专题的考察，以及对于中医药文物保护的建议等内容。,R,2003.09
文物考古与中医学,高春媛，陶广正著,福州福建科学技术出版社,中国医药学医学史学科研究医学史中国医药学学科研究,本书试图将上自石器、陶器下迄明清书画凡与医学有关的医药文物荟萃编辑成书。,R,2017.07
自由与善克隆人伦理研究,高兆明，孙慕义著,南京南京师范大学出版社,生命科学学科医学伦理学生命科学医学伦理学,教育部人文社会科学基金项目江苏省教育厅社会科学基金项目本书首先厘清克隆人基本概念，并借以确立克隆人伦理问题思考的哲学本体论基础，然后从自由权利的维度审视克隆人技术及其应用的合理性依据与伦理风险，并在此基础上提出人类在克隆人技术及其应用问题上应有的自由及其责任精神，最后本研究通过克隆人技术探究了现代性社会人类的自由存在方式。,R,2004.12
社会医学,顾杏元，龚幼龙主编王均乐等编,上海医科大学出版社,社会医学学科医学院校学科教材,高等医药院校教材本书阐述了社会医学概念、社会经济因素与健康的关系社会病理学与现代社会病国内外社会卫生状况社会卫生策略与措施、卫生服务研究、卫生资源与医疗卫生制度卫生立法与法规健康教育不同人群的社会医学国际保健内容。,R,1991.07
道教医学精义,盖建民，何振中著,北京宗教文化出版社,道教中医学,本书主要内容包括道教医学形成发展道教医学体系与内容道教医学的常见疗法道教医学心理疗法道教医学养生理论与方法等。,R,2014.01
中医文化的复兴,祝世讷主编,南京南京出版社,中国医药学文化研究,本书系统讨论了中医文化复兴之路，怎样复兴和为何复兴等基础性问题，分别阐述了中医文化复兴的潮流、人与自然观的复归，现代科学激发中医智慧等问题。,R,2013.01
中医文化溯源,薛公忱主编,南京南京出版社,中国医药学文化研究,本书比较全面、深入地考察了中医药学与中国传统文化，如政治、宗教、哲学、论理、逻辑、科技、民俗及文学、教育等不可分割的内在的、互动的密切联系。,R,2013.01
中西医文化的撞击,张慰丰主编,南京南京出版社,中国医药学文化研究医学西方国家,本书简要论述了中西医两种医学体系的成长过程，比较了中西医文化的认识方式、技艺特征、行为规范、文化基因及艺术与审美等方面的异同，认为中西医具有互补性。,R,2013.01
中国卫生和人口公共政策研究,王海燕，张勰，罗中华著,北京经济科学出版社,人口政策研究中国卫生工作方针政策研究中国,本书紧密结合我国卫生和人口公共管理及其队伍建设实际，力求体现知识面全、重点突出、内容精炼、适于阅读等特点，策划、编撰突出针对性、实用性立足卫生和人口公共政策实际，对学科内容合理取舍，突出重点、要点和关键点在原理运用和案例分析等方面，尽量联系卫生和人口行政管理、公共服务以及卫生和计划生育系统人员职业发展实际，以提高其实际能力为核心。,R,2016.06
医生还需要什么,高金声主编,北京中国协和医科大学出版社,医学关系,本书是一本以人文医学、人文管理为主要内容的文集。本书收集了一些专家的讲演稿和培训教案，具有一定的理论性和实用性。,R,2009.06
