2022-08-11 14:50:14.429 INFO  club.kwcoder.book.Book1Application                :55   [32m        [0;39m Starting Book1Application on 192.168.0.100 with PID 28490 (/Users/zhinushannan/code/weather/book/book-1/target/classes started by zhinushannan in /Users/zhinushannan/code/weather/book/book-1)
2022-08-11 14:50:14.432 INFO  club.kwcoder.book.Book1Application                :651  [32m        [0;39m No active profile set, falling back to default profiles: default
2022-08-11 14:50:14.460 WARN  o.s.h.converter.json.Jackson2ObjectMapperBuilder  :127  [32m        [0;39m For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2022-08-11 14:50:14.497 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor :225  [32m        [0;39m Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-08-11 14:50:14.497 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor :225  [32m        [0;39m For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-08-11 14:50:15.243 INFO  o.s.d.r.config.RepositoryConfigurationDelegate    :249  [32m        [0;39m Multiple Spring Data modules found, entering strict repository configuration mode!
2022-08-11 14:50:15.245 INFO  o.s.d.r.config.RepositoryConfigurationDelegate    :127  [32m        [0;39m Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2022-08-11 14:50:15.354 INFO  o.s.d.r.config.RepositoryConfigurationDelegate    :187  [32m        [0;39m Finished Spring Data repository scanning in 106ms. Found 10 MongoDB repository interfaces.
2022-08-11 14:50:15.664 INFO  o.s.d.r.config.RepositoryConfigurationDelegate    :249  [32m        [0;39m Multiple Spring Data modules found, entering strict repository configuration mode!
2022-08-11 14:50:15.665 INFO  o.s.d.r.config.RepositoryConfigurationDelegate    :127  [32m        [0;39m Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-08-11 14:50:15.697 INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport :348  [32m        [0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface club.kwcoder.book.repository.BookClassifyRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
2022-08-11 14:50:15.698 INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport :348  [32m        [0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface club.kwcoder.book.repository.BookRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
